"fecha_hecho","cod_depto","departamento","cod_muni","municipio","cantidad","unidad"
"2025-07-06T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.114","KILOGRAMO"
"2025-07-05T00:00:00.000","54","NORTE DE SANTANDER","54405","LOS PATIOS","0.01","KILOGRAMO"
"2025-07-04T00:00:00.000","66","RISARALDA","66170","DOSQUEBRADAS","0.04","KILOGRAMO"
"2025-07-03T00:00:00.000","76","VALLE DEL CAUCA","76147","CARTAGO","0.005","KILOGRAMO"
"2025-07-03T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.006","KILOGRAMO"
"2025-07-02T00:00:00.000","41","HUILA","41001","NEIVA","0.015","KILOGRAMO"
"2025-07-02T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0013","KILOGRAMO"
"2025-06-29T00:00:00.000","54","NORTE DE SANTANDER","54405","LOS PATIOS","0.015","KILOGRAMO"
"2025-06-28T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.0129","KILOGRAMO"
"2025-06-27T00:00:00.000","52","NARIÑO","52683","SANDONA","0.001","KILOGRAMO"
